Country Name,Continent,Population,Populationgrowthrate,Country(or dependency),Population(2020),Yearly Change,Net Change,Density Square Km,Land Area Square Km,Migrants(net),FertRate,Med.Age,UrbanPop,World Share,Normalised Population
null,null,null,null,Bahamas,"393,893",97,"3,762.00",39,"10,010.00","1,000.00",1.8,32,8600,1,39.35
null,null,null,null,Martinique,"375,213.00",-8,-289,354,"1,060.00",-960,1.9,47,9200,0,353.97
Iceland,Europe,"343,518",1.08,Iceland,"341,628.00",65,"2,212.00",3,"100,250.00",380,1.8,37,9400,0,3.41
Vanuatu,Oceania,"288,037",1.81,Vanuatu,"308,337",242,"7,263.00",25,"12,190.00",120,3.8,21,2400,0,25.29
null,null,null,null,French Guiana,"299,958",270,"7,850.00",4,"82,200.00","1,200.00",3.4,25,8700,0,3.65
Barbados,North America,"293,131",0.26,Barbados,"287,437.00",12,350,668,430,-79,1.6,40,3100,0,668.46
null,null,null,null,New Caledonia,"285,972",97,"2,748.00",16,"18,280.00",502,2,34,7200,0,15.64
null,null,null,null,French Polynesia,"281,191.00",58,"1,621.00",77,"3,660.00","-1,000.00",2,34,6400,0,76.83
null,null,null,null,Mayotte,"273,905.00",250,"6,665.00",728,375,0,3.7,20,4600,0,730.41
null,null,null,null,Sao Tome & Principe,"219,844.00",191,"4,103.00",228,960,"-1,680.00",4.4,19,7400,0,229
Samoa,Oceania,"201,316",0.61,Samoa,"198,643.00",67,"1,317.00",70,"2,830.00","-2,803.00",3.9,22,1800,0,70.19
Saint Lucia,North America,"165,510",0.31,Saint Lucia,"183,774",46,837,301,610,0,1.4,34,1900,0,301.27
null,null,null,null,Channel Islands,"174,140",93,"1,604.00",915,190,"1,351.00",1.5,43,3000,0,916.53
null,null,null,null,Guam,"169,031.00",89,"1,481.00",313,540,-506,2.3,31,9500,0,313.02
null,null,null,null,Curaçao,"164,211.00",41,669,370,444,515,1.8,42,8900,0,369.84
Kiribati,Africa,"109,367",1.12,Kiribati,"119,760.00",157,"1,843.00",147,810,-800,3.6,23,5700,0,147.85
null,null,null,null,Micronesia,"115,231.00",106,"1,208.00",164,700,-600,3.1,24,2100,0,164.62
Grenada,North America,"112,207",0.42,Grenada,"112,614.00",46,520,331,340,-200,2.1,32,3500,0,331.22
null,null,null,null,St. Vincent & Grenadines,"111,002",32,351,284,390,-200,1.9,33,5300,0,284.62
null,null,null,null,Aruba,"106,845.00",43,452,593,180,201,1.9,41,4400,0,593.58
Tonga,Oceania,"106,398",-0.1,Tonga,"105,901.00",115,"1,201.00",147,720,-800,3.6,22,2400,0,147.08
